Name,Street_Address,Location,Type,Reviews,No of Reviews,Comments,Contact_Number,Restaurant_url,Menu,Image_url
Faicco's Pork Store,260 Bleecker St,"New York City, NY 10014-4128", Italian,4.5,351,We visited Faicco's in New York to get a submarine sandwich (hero) for lunch.  The place was very busy and it is take away only. ,+1 212-243-1974,https://www.tripadvisor.com/Restaurant_Review-g60763-d492626-Reviews-Faicco_s_Pork_Store-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f1/ec/5d/photo1jpg.jpg?w=1100&h=-1&s=1
Piccola Cucina Osteria,196 Spring St,"New York City, NY 10012-3621"," Italian, Mediterranean, Neapolitan",4.5,2617,"Both the service and food has improved considerably since I last visited Piccola Cucina Osteria in June 2019. The wait staff was friendly, attentive, and helpful, and the food fresh and delicious.",+1 646-478-7488,https://www.tripadvisor.com/Restaurant_Review-g60763-d4363835-Reviews-Piccola_Cucina_Osteria-New_York_City_New_York.html,http://www.piccolacucinagroup.com/wp-content/uploads/2018/06/Menu-Osteria-2018-compressed.pdf,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/5e/1c/e4/piccola-cucina-osteria.jpg?w=900&h=500&s=1
SottoCasa Pizzeria,227 Lenox Ave,"New York City, NY 10027-6542"," Pizza, Neapolitan, Campania",4.5,406,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. ",+1 646-928-4870,https://www.tripadvisor.com/Restaurant_Review-g60763-d10165896-Reviews-SottoCasa_Pizzeria-New_York_City_New_York.html,https://sottocasanyc.com/harlem/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/31/60/5f/photo0jpg.jpg?w=1200&h=-1&s=1
Luke's Lobster- Upper East Side,242 E 81st St,"New York City, NY 10028-2602"," Seafood, Fast Food, Soups",4.5,163,"The lobster is very well-prepared here; cleanliness is very good; I love the little crackers; and although the space is small, the chairs and tables are very comfortable.

You can very well imagine that you’re on the Maine shore for a few minutes while dining.",+1 212-249-4241,https://www.tripadvisor.com/Restaurant_Review-g60763-d4003333-Reviews-Luke_s_Lobster_Upper_East_Side-New_York_City_New_York.html,http://www.lukeslobster.com/menu/menu-1/,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/7b/f5/d0/each-one-of-our-rolls.jpg?w=900&h=500&s=1
Maison Harlem,341 Saint Nicholas Ave,"New York City, NY 10027-7602"," French, Bar, European",4.5,182,"This was our first visit and it started rough. Cocktails were ordered but the first course came ten minutes before they arrived. The food was not great.
Then the mains came and they were excellent. A delicious Dorade dish was the star.",+1 212-222-9224,https://www.tripadvisor.com/Restaurant_Review-g60763-d3833047-Reviews-Maison_Harlem-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/c4/8e/d3/photo1jpg.jpg?w=1200&h=-1&s=1
Nick's,1814 2nd Ave,"New York City, NY 10128-5601"," Italian, Pizza, Vegetarian Friendly",4.5,269,Maybe i was there during an off time as it was early in the dinner hour.  The place relatively empty.  We ordered a family style which was delicious. ,+1 212-987-5700,https://www.tripadvisor.com/Restaurant_Review-g60763-d476854-Reviews-Nick_s-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/54/f5/05/photo0jpg.jpg?w=1200&h=-1&s=1
Bemelmans Bar,35 E 76th St,"New York City, NY 10021-1827", Bar,4.5,479,"Husband and I stopped for afternoon cocktails.  We were celebrating my birthday- I had a champagne cocktail, husband had Manhattan- both were beautiful and delicious.  Sharif was an awesome, fun bartender and made my birthday very special.  The decor and atmosphere were everything.",+1 212-744-1600,https://www.tripadvisor.com/Restaurant_Review-g60763-d1143073-Reviews-Bemelmans_Bar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/be/55/72/bemelmans-bar.jpg?w=900&h=500&s=1
Tamarind - Tribeca,99 Hudson St,"New York City, NY 10013-2815"," Indian, Asian, Vegetarian Friendly",4.5,711,The absolute BEST Indian food I have ever had.  Tandoor Topli Na Paneer was amazing! Fine dining with great decor and fabulous service. Highly recommend!,+1 212-775-9000,https://www.tripadvisor.com/Restaurant_Review-g60763-d1985904-Reviews-Tamarind_Tribeca-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/4b/9e/4e/tamarind.jpg?w=900&h=500&s=1
Jungsik,2 Harrison St,"New York City, NY 10013-2810"," Asian, Korean, Gluten Free Options",4.5,272,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. ",+1 212-219-0900,https://www.tripadvisor.com/Restaurant_Review-g60763-d2345886-Reviews-Jungsik-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a9/1a/6e/jungsik.jpg?w=1200&h=-1&s=1
Kuu Ramen,20 John St,"New York City, NY 10038-4038"," Japanese, Soups, Asian",4.5,161,"Raw pork dumplings 
Ok ramen 
Large portion ",+1 212-571-7177,https://www.tripadvisor.com/Restaurant_Review-g60763-d7890999-Reviews-Kuu_Ramen-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/f9/0a/9c/kuu-chili-chicken-and.jpg?w=900&h=500&s=1
Scalini Fedeli,165 Duane St,"New York City, NY 10013-3332"," Italian, Vegetarian Friendly, Vegan Options",4.5,427,A quaint romantic restaurant with a excellent food. They bring you things to eat in between courses. Staff is great. Everything we ate was delicious. Great for couples and special occasions.  Will definitely be back.,+1 212-528-0400,https://www.tripadvisor.com/Restaurant_Review-g60763-d424246-Reviews-Scalini_Fedeli-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/bb/65/cf/scalini-fedeli-main-dinning.jpg?w=1200&h=-1&s=1
Crave Fishbar,945 2nd Ave,"New York City, NY 10022-7761"," Seafood, American, International",4.5,424,Hits & Misses for this place.  I feel this place is overpriced considering the ambiance and food quality. ,+1 646-895-9585,https://www.tripadvisor.com/Restaurant_Review-g60763-d3459256-Reviews-Crave_Fishbar-New_York_City_New_York.html,Check The Website for a Menu,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/e1/9c/49/grilled-octopus-and-lobster.jpg?w=900&h=500&s=1
